SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
50,2,4,46,119,South Dakota,Sully County,1448,1452,1471,1471,4,19,0,4,15,14,3,15,15,1,0,-1,0,1,2,2,18,-1,2,19,1,1,0,0,0,0,0,0,10.263428,9.51733515,10.263428,10.1971448,0,-0.6798097,0.68422853,1.35961931,12.3161136,-0.6798097,13.0003421,0.67980965
50,2,4,46,121,South Dakota,Todd County,9319,9317,9292,9220,-2,-25,-72,48,203,207,23,141,129,25,62,78,0,16,38,-27,-104,-193,-27,-88,-155,0,1,5,91,91,91,91,21.8174002,22.3638721,15.1539578,13.9369058,6.66344242,8.42696629,1.71959804,4.10544512,-11.177387,-20.85134,-9.4577892,-16.745895
50,2,4,46,123,South Dakota,Tripp County,5621,5603,5566,5565,-18,-37,-1,14,71,74,18,81,75,-4,-10,-1,0,3,9,-13,-31,-7,-13,-28,2,-1,1,-2,247,247,247,247,12.7137613,13.2961998,14.5044319,13.4758782,-1.7906706,-0.1796784,0.53720118,1.61710538,-5.5510789,-1.2577486,-5.0138777,0.35935675
50,2,4,46,125,South Dakota,Turner County,8662,8672,8682,8856,10,10,174,17,89,94,22,133,119,-5,-44,-25,0,6,25,15,46,173,15,52,198,0,2,1,234,234,234,234,10.2570013,10.7195803,15.3278783,13.5705326,-5.070877,-2.8509522,0.69148323,2.85095222,5.30137144,19.7285893,5.99285467,22.5795416
50,2,4,46,127,South Dakota,Union County,16813,16853,16868,17063,40,15,195,46,160,167,33,160,149,13,0,18,0,14,30,27,-12,150,27,2,180,0,13,-3,93,93,92,91,9.48963554,9.84350594,9.48963554,8.78252925,0,1.06097669,0.83034311,1.76829448,-0.7117227,8.8414724,0.11862044,10.6097669
50,2,4,46,129,South Dakota,Walworth County,5310,5286,5246,5265,-24,-40,19,13,68,66,12,83,78,1,-15,-12,0,2,4,-22,-30,30,-22,-28,34,-3,3,-3,65,65,65,65,12.913027,12.5582723,15.7614888,14.8415945,-2.8484618,-2.2833222,0.37979491,0.76110741,-5.6969237,5.70830558,-5.3171288,6.469413
50,2,4,46,135,South Dakota,Yankton County,23311,23282,23334,23373,-29,52,39,66,257,263,66,274,258,0,-17,5,0,0,1,-28,54,47,-28,54,48,-1,15,-14,1871,1871,1868,1870,11.0262571,11.2616952,11.7556204,11.0475946,-0.7293633,0.21410067,0,0.04282013,2.3168011,2.0125463,2.3168011,2.05536643
50,2,4,46,137,South Dakota,Ziebach County,2413,2392,2400,2395,-21,8,-5,12,32,34,3,28,38,9,4,-4,0,0,1,-28,2,1,-28,2,2,-2,2,-3,41,41,41,41,13.3555927,14.181439,11.6861436,15.8498436,1.66944908,-1.6684046,0,0.41710115,0.83472454,0.41710115,0.83472454,0.83420229
40,3,6,47,0,Tennessee,Tennessee,6910786,6925619,6968351,7051339,14833,42732,82988,19250,79271,81970,18940,89362,91183,310,-10091,-9213,209,3113,8096,14307,50450,81646,14516,53563,89742,7,-740,2459,156472,156389,141125,147129,11.4108495,11.6935539,12.863422,13.0078482,-1.4525726,-1.3142944,0.44810806,1.15494708,7.26214322,11.6473331,7.71025128,12.8022802
50,3,6,47,1,Tennessee,Anderson County,77136,77302,77567,78913,166,265,1346,206,776,796,257,1249,1268,-51,-473,-472,0,25,70,221,701,1681,221,726,1751,-4,12,67,1118,1118,1118,1107,10.0213729,10.1738241,16.1297613,16.206544,-6.1083884,-6.0327198,0.32285351,0.89468303,9.05281238,21.4851738,9.37566589,22.3798569
50,3,6,47,3,Tennessee,Bedford County,50239,50381,51157,51950,142,776,793,174,686,709,124,641,660,50,45,49,0,21,57,86,717,674,86,738,731,6,-7,13,1031,1030,1022,1027,13.5121826,13.7527035,12.625815,12.8022346,0.88636767,0.95046893,0.41363824,1.10564753,14.1227915,13.0737971,14.5364297,14.1794447
50,3,6,47,5,Tennessee,Benton County,15863,15850,15839,16002,-13,-11,163,34,149,156,61,327,335,-27,-178,-179,0,0,-1,14,166,336,14,166,335,0,1,7,186,186,131,131,9.4038941,9.79868723,20.6380763,21.0420527,-11.234182,-11.243365,0,-0.0628121,10.4768216,21.1048648,10.4768216,21.0420527
50,3,6,47,7,Tennessee,Bledsoe County,14916,14954,14844,14798,38,-110,-46,35,127,131,37,179,187,-2,-52,-56,0,11,27,41,-64,-19,41,-53,8,-1,-5,2,2624,2625,2190,1924,8.52406202,8.8388098,12.0142291,12.6172323,-3.4901671,-3.7784225,0.73830458,1.82173942,-4.2955903,-1.2819648,-3.5572857,0.53977464
50,3,6,47,9,Tennessee,Blount County,135283,135649,137649,139958,366,2000,2309,318,1281,1331,405,1868,1888,-87,-587,-557,0,35,80,468,2601,2720,468,2636,2800,-15,-49,66,2159,2159,2097,2094,9.37438254,9.58909538,13.6700598,13.6019625,-4.2956772,-4.0128671,0.25613067,0.57635434,19.0341678,19.5960477,19.2902985,20.172402
50,3,6,47,11,Tennessee,Bradley County,108620,108820,109769,110616,200,949,847,271,1154,1191,310,1550,1576,-39,-396,-385,0,49,146,229,1274,1089,229,1323,1235,10,22,-3,2565,2563,2170,2272,10.5586283,10.8083581,14.1818664,14.3022438,-3.6232381,-3.4938857,0.44832997,1.32495406,11.6565792,9.88270527,12.1049092,11.2076593
50,3,6,47,13,Tennessee,Campbell County,39277,39301,39409,39584,24,108,175,108,438,448,145,751,763,-37,-313,-315,0,5,9,58,412,463,58,417,472,3,4,18,476,476,342,425,11.1294626,11.3427772,19.0827087,19.3181674,-7.9532461,-7.9753902,0.12704866,0.22786829,10.4688096,11.7225577,10.5958582,11.950426
50,3,6,47,15,Tennessee,Cannon County,14512,14568,14535,14788,56,-33,253,37,169,175,49,221,232,-12,-52,-57,0,2,4,74,6,294,74,8,298,-6,11,12,110,110,74,108,11.613923,11.9360229,15.1874377,15.8237561,-3.5735148,-3.8877332,0.13744288,0.27282338,0.41232863,20.0525185,0.5497715,20.3253419
50,3,6,47,17,Tennessee,Carroll County,28434,28421,28287,28458,-13,-134,171,70,293,301,131,519,529,-61,-226,-228,0,1,3,44,72,383,44,73,386,4,19,13,1326,1324,1227,1319,10.333639,10.6088642,18.3042957,18.6448145,-7.9706567,-8.0359503,0.03526839,0.10573619,2.53932426,13.4989867,2.57459265,13.6047229
50,3,6,47,19,Tennessee,Carter County,56349,56362,56060,56410,13,-302,350,120,443,457,207,965,977,-87,-522,-520,0,6,15,97,180,827,97,186,842,3,34,28,1458,1452,1318,1369,7.88101973,8.12661154,17.1674583,17.3735218,-9.2864386,-9.2469103,0.10674067,0.2667378,3.20222021,14.7061439,3.30896088,14.9728817
